"","lncRNA","protein","RF"
"1","HSALNCT006187.1","P26599",0.744
"2","HSALNCT006187.1","B7ZL34",0.483777777777778
"3","HSALNCT006187.1","Q96PU8",0.436888888888889
"4","HSALNCT006187.1","Q9NZI8",0.874
"5","HSALNCT000517.8","P26599",0.992444444444444
"6","HSALNCT000517.8","B7ZL34",0.713555555555555
"7","HSALNCT000517.8","Q96PU8",0.743777777777778
"8","HSALNCT000517.8","Q9NZI8",0.988666666666667
"9","HSALNCT000177.6","P26599",0.946
"10","HSALNCT000177.6","B7ZL34",0.565333333333333
"11","HSALNCT000177.6","Q96PU8",0.555111111111111
"12","HSALNCT000177.6","Q9NZI8",0.878444444444444
