"","lncRNA","protein","XGB"
"1","HSALNCT006187.1","P26599",0.537310623460346
"2","HSALNCT006187.1","B7ZL34",0.0906663933354947
"3","HSALNCT006187.1","Q96PU8",0.0618922528293398
"4","HSALNCT006187.1","Q9NZI8",0.829983350303438
"5","HSALNCT000517.8","P26599",0.992501623100705
"6","HSALNCT000517.8","B7ZL34",0.831547286775377
"7","HSALNCT000517.8","Q96PU8",0.746632615725199
"8","HSALNCT000517.8","Q9NZI8",0.990477714273665
"9","HSALNCT000177.6","P26599",0.967165410518646
"10","HSALNCT000177.6","B7ZL34",0.292340910269154
"11","HSALNCT000177.6","Q96PU8",0.214194710055987
"12","HSALNCT000177.6","Q9NZI8",0.899859441651238
